recipe_name,total_time,ingredients_list,directions_list,fat,sat_fat,cholesterol,sodium,fiber,sugar,protein,calcium,iron,potassium,img_src,text
Watermelon Caprese Appetizer,30,"['3 sprigs fresh basil', 'stems removed', '1 small watermelon', 'fruit removed with a melon baller', '1 (8 ounce) package fresh mozzarella cheese', 'cut into small pieces', '2 tablespoons olive oil', '2 tablespoons balsamic vinegar', 'salt and ground black pepper to taste']","['trim basil leaves into small circles about 1 inch in diameter.\nthread watermelon and mozzarella cheese on toothpicks', 'sandwiching a basil leaf in between. arrange on a serving plate.\npour olive oil and balsamic vinegar over toothpicks. sprinkle salt and black pepper on top.']",20.0,9.0,45.0,125.0,1.0,24.0,12.0,357.0,1.0,399.0,https://www.allrecipes.com/thmb/BZOAS40NMe-SJRCCej8IYd57mVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5472582-864b7d797f494eb1998ccf461277edae.jpg,"Watermelon Caprese Appetizer 3 sprigs fresh basil, stems removed, 1 small watermelon, fruit removed with a melon baller, 1 (8 ounce) package fresh mozzarella cheese, cut into small pieces, 2 tablespoons olive oil, 2 tablespoons balsamic vinegar,   salt and ground black pepper to taste Trim basil leaves into small circles about 1 inch in diameter.
Thread watermelon and mozzarella cheese on toothpicks, sandwiching a basil leaf in between. Arrange on a serving plate.
Pour olive oil and balsamic vinegar over toothpicks. Sprinkle salt and black pepper on top.









 /Appetizers and Snacks/Antipasto Recipes/"
Watermelon Soup,135,"['4 cups cubed seeded watermelon', '2 tablespoons lemon juice', '1 tablespoon chopped fresh mint', '1 tablespoon honey']","['blend watermelon', 'lemon juice', 'mint', 'and honey in a blender until smooth. refrigerate 2 hours before serving.']",0.0,,,2.0,1.0,19.0,1.0,16.0,1.0,244.0,https://www.allrecipes.com/thmb/6t6q-UzMXIz-SB3Lb8sVWeK3LtQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/869962-71aaac6737c44265ac4885e6049701a5.jpg,"Watermelon Soup 4 cups cubed seeded watermelon, 2 tablespoons lemon juice, 1 tablespoon chopped fresh mint, 1 tablespoon honey Blend watermelon, lemon juice, mint, and honey in a blender until smooth. Refrigerate 2 hours before serving. /Soups, Stews and Chili Recipes/Soup Recipes/Fruit Soup Recipes/"
Watermelon and Feta Salad with Arugula and Spinach,20,"['3 tablespoons extra-virgin olive oil', '2 teaspoons white balsamic vinegar', '½ teaspoon kosher salt', '2 cups arugula', '2 cups baby spinach leaves', '1 cup thinly sliced red onion', '1 cup grape tomatoes', 'halved', '½ cup crumbled feta cheese', '2 cups bite sized watermelon chunks']","['whisk the olive oil', 'white balsamic vinegar', 'and salt together in a small bowl; set aside.\ncombine the arugula', 'spinach', 'onions', 'and tomatoes in a large salad bowl. drizzle the vinaigrette over the salad mixture; toss to coat. add the feta cheese and watermelon to serve.']",15.0,4.0,17.0,470.0,2.0,7.0,5.0,138.0,1.0,346.0,https://www.allrecipes.com/thmb/f3o0ja2Omkq2n_DJRsb0ybajqP4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/826523-0d28ff081bc545d1b7098a4ceb3a524d.jpg,"Watermelon and Feta Salad with Arugula and Spinach 3 tablespoons extra-virgin olive oil, 2 teaspoons white balsamic vinegar, ½ teaspoon kosher salt, 2 cups arugula, 2 cups baby spinach leaves, 1 cup thinly sliced red onion, 1 cup grape tomatoes, halved, ½ cup crumbled feta cheese, 2 cups bite sized watermelon chunks Whisk the olive oil, white balsamic vinegar, and salt together in a small bowl; set aside.
Combine the arugula, spinach, onions, and tomatoes in a large salad bowl. Drizzle the vinaigrette over the salad mixture; toss to coat. Add the feta cheese and watermelon to serve. /Salad/Green Salad Recipes/Spinach Salad Recipes/"
Watermelon Feta Salad,20,"['3 tablespoons olive oil', '2 teaspoons white balsamic vinegar', '½ teaspoon kosher salt', '8 ounces grape tomatoes', 'halved', '3 cups arugula', '1 cup sliced red onion', '2 pounds watermelon', 'cubed', '4 ounces feta cheese', 'cut into 1/4-inch cubes']","['whisk olive oil', 'vinegar', 'and salt together in a large mixing bowl. add tomatoes', 'arugula', 'and red onion; toss to coat. gently stir in watermelon and feta cheese to serve.']",8.0,3.0,13.0,284.0,1.0,9.0,3.0,96.0,1.0,237.0,https://www.allrecipes.com/thmb/Cy2GfFn1GdlsFhkX5m4funEP-J8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/watermelon-feta-salad-france-c-4x3-1-2000-9fce019e8ca24116b29835f41ac8fb1f.jpg,"Watermelon Feta Salad 3 tablespoons olive oil, 2 teaspoons white balsamic vinegar, ½ teaspoon kosher salt, 8 ounces grape tomatoes, halved, 3 cups arugula, 1 cup sliced red onion, 2 pounds watermelon, cubed, 4 ounces feta cheese, cut into 1/4-inch cubes Whisk olive oil, vinegar, and salt together in a large mixing bowl. Add tomatoes, arugula, and red onion; toss to coat. Gently stir in watermelon and feta cheese to serve. /Salad/Fruit Salad Recipes/"
Jewel's Watermelon Margaritas,45,"['½ cup white sugar', '½ cup water', '3 strips orange zest', '2 cups cubed seeded watermelon', '¾ cup white tequila', '¼ cup lime juice', '1 pinch salt or sugar for rimming glasses', '1  lime', 'cut into wedges', '2 cups crushed ice', 'or as needed']","['bring 1/2 cup sugar', 'water', 'and orange zest in a small saucepan to boil', 'stirring constantly. simmer until sugar is dissolved', 'about 3 minutes. remove simple syrup from heat and allow to cool completely.\nplace watermelon in a blender or food processor. pulse until pureed.\nstir watermelon puree into a large pitcher with simple syrup', 'tequila', 'and lime juice.\nplace a small amount of salt or sugar into a saucer. rub edge of margarita glasses with a lime wedge to moisten. lightly dip the rim of the glass into the saucer to rim the glass; tap off excess salt or sugar.\nfill rimmed glasses with crushed ice; pour margarita mixture into glasses and garnish with lime wedges to serve.\n\n\n\n\n\n\n\n\n\n\n\nfrance c']",0.0,,,42.0,2.0,30.0,1.0,38.0,0.0,154.0,https://www.allrecipes.com/thmb/yEqFh1NVWXwNk9qDR75NTakpkeo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5622224-jewels-watermelon-margaritas-France-C-1x1-1-19836febede04bba8be68cd0c7802d73.jpg,"Jewel's Watermelon Margaritas ½ cup white sugar, ½ cup water, 3 strips orange zest, 2 cups cubed seeded watermelon, ¾ cup white tequila, ¼ cup lime juice, 1 pinch salt or sugar for rimming glasses, 1  lime, cut into wedges, 2 cups crushed ice, or as needed Bring 1/2 cup sugar, water, and orange zest in a small saucepan to boil, stirring constantly. Simmer until sugar is dissolved, about 3 minutes. Remove simple syrup from heat and allow to cool completely.
Place watermelon in a blender or food processor. Pulse until pureed.
Stir watermelon puree into a large pitcher with simple syrup, tequila, and lime juice.
Place a small amount of salt or sugar into a saucer. Rub edge of margarita glasses with a lime wedge to moisten. Lightly dip the rim of the glass into the saucer to rim the glass; tap off excess salt or sugar.
Fill rimmed glasses with crushed ice; pour margarita mixture into glasses and garnish with lime wedges to serve.











France C
 /Drinks Recipes/Cocktail Recipes/Tequila Drinks Recipes/"
Watermelon Preserves,865,"['2 pounds watermelon', '3 cups white sugar', '3  lemons - rinsed', 'sliced and seeded']","['remove the green rind from watermelon', 'and dice white part into small cubes', 'leaving the red flesh mostly intact. remove seeds.\nin a heavy stockpot', 'combine 4 cups of prepared watermelon', 'sugar', 'and lemons. bring to a boil over medium heat', 'and let the mixture boil slowly for 2 hours', 'stirring occasionally. the temperature of the mixture should be at 220 degrees f (105 degrees c) so the jam will set.\nsterilize the jars and lids in boiling water for at least 5 minutes. pack the jam into the hot', 'sterilized jars', 'filling the jars to within 1/4 inch of the top. run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. wipe the rims of the jars with a moist paper towel to remove any food residue. top with lids', 'and screw on rings.\nplace a rack in the bottom of a large stockpot and fill halfway with water. bring to a boil over high heat', 'then carefully lower the jars into the pot using a holder. leave 2 inches of space between the jars. pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. bring the water to a full boil', 'cover the pot', 'and process for 10 minutes.\nremove the jars from the stockpot and let rest', 'several inches apart', 'for 12 to 24 hours. press the center of each lid with a finger to ensure the lid does not move up or down. remove the rings for storage and store in a cool', 'dark area.']",0.0,,,1.0,1.0,16.0,0.0,7.0,0.0,38.0,https://www.allrecipes.com/thmb/JIfNJImDNXnC69pVa_8KmG8Unjc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/35684-0a210f2403b9436da483905a3e1b3ccd.jpg,"Watermelon Preserves 2 pounds watermelon, 3 cups white sugar, 3  lemons - rinsed, sliced and seeded Remove the green rind from watermelon, and dice white part into small cubes, leaving the red flesh mostly intact. Remove seeds.
In a heavy stockpot, combine 4 cups of prepared watermelon, sugar, and lemons. Bring to a boil over medium heat, and let the mixture boil slowly for 2 hours, stirring occasionally. The temperature of the mixture should be at 220 degrees F (105 degrees C) so the jam will set.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the jam into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil over high heat, then carefully lower the jars into the pot using a holder. Leave 2 inches of space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 10 minutes.
Remove the jars from the stockpot and let rest, several inches apart, for 12 to 24 hours. Press the center of each lid with a finger to ensure the lid does not move up or down. Remove the rings for storage and store in a cool, dark area. /Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Jams and Jellies Recipes/"
Herb Watermelon Feta Salad,20,"['½ large chilled seedless watermelon', 'cut into 1-inch cubes', '1 small red onion', 'sliced', '1 cup thinly sliced fresh basil leaves', '1 cup chopped fresh cilantro', '½ cup minced fresh mint leaves', '2  limes', 'juiced', '1 (4 ounce) package crumbled feta cheese', '3 tablespoons olive oil', '2 tablespoons balsamic vinegar', 'or more to taste', 'salt and ground black pepper to taste']","['gently toss watermelon', 'onion', 'basil', 'cilantro', 'mint', 'lime juice', 'feta cheese', 'olive oil', 'balsamic vinegar', 'salt', 'and black pepper together in a large bowl.']",6.0,2.0,8.0,112.0,2.0,25.0,4.0,89.0,1.0,480.0,https://www.allrecipes.com/thmb/1BR8gIPQAcDhR4ydhkXrAj-FjNc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4527045-da962325de534ed6b02542bb4fbfbbd2.jpg,"Herb Watermelon Feta Salad ½ large chilled seedless watermelon, cut into 1-inch cubes, 1 small red onion, sliced, 1 cup thinly sliced fresh basil leaves, 1 cup chopped fresh cilantro, ½ cup minced fresh mint leaves, 2  limes, juiced, 1 (4 ounce) package crumbled feta cheese, 3 tablespoons olive oil, 2 tablespoons balsamic vinegar, or more to taste,   salt and ground black pepper to taste Gently toss watermelon, onion, basil, cilantro, mint, lime juice, feta cheese, olive oil, balsamic vinegar, salt, and black pepper together in a large bowl. /Salad/Fruit Salad Recipes/"
Polynesian Watermelon Drink ('Otai),15,"['1  seedless watermelon', 'halved and sliced', '3 cups water', '1 (15.25 ounce) can crushed pineapple', '1 (12 fluid ounce) can evaporated milk', '½ cup shredded coconut', '2 tablespoons white sugar', 'or to taste', '½  lime', 'juiced']","['grate watermelon with a fork from the rind into a large bowl', 'leaving no large chunks. stir water', 'pineapple', 'evaporated milk', 'and coconut into the grated watermelon. add sugar; stir until dissolved. squeeze lime juice into the watermelon mixture.']",4.0,2.0,9.0,48.0,2.0,35.0,5.0,117.0,1.0,574.0,https://www.allrecipes.com/thmb/xUHKbJSrgk0EoruEUDA7jzdwk-w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1228621-2ccb9fcfc4e2436696f29e2ff5414e57.jpg,"Polynesian Watermelon Drink ('Otai) 1  seedless watermelon, halved and sliced, 3 cups water, 1 (15.25 ounce) can crushed pineapple, 1 (12 fluid ounce) can evaporated milk, ½ cup shredded coconut, 2 tablespoons white sugar, or to taste, ½  lime, juiced Grate watermelon with a fork from the rind into a large bowl, leaving no large chunks. Stir water, pineapple, evaporated milk, and coconut into the grated watermelon. Add sugar; stir until dissolved. Squeeze lime juice into the watermelon mixture. /Drinks Recipes/Punch Recipes/Non-Alcoholic Punch Recipes/"
"Summer Fruit Salad with a Lemon, Honey, and Mint Dressing",80,"['4 cups cubed seeded watermelon', '2 cups sliced fresh strawberries', '2 large  fresh peaches', 'cut into cubes', '2 large  nectarines', 'cut into cubes', '1  red anjou pear', 'cut into cubes', '1 cup seedless grapes', 'halved', '2  lemons', 'juiced', '¼ cup minced fresh mint (chocolate mint preferred)', '½  lemon', 'zested', '1 tablespoon honey (fireweed honey preferred)']","['combine watermelon', 'strawberries', 'peaches', 'nectarines', 'pear', 'and grapes in a large mixing bowl.\nwhisk lemon juice', 'mint', 'lemon zest', 'and honey together in a small bowl; drizzle over the fruit mixture and toss to coat.\nrefrigerate 1 hour before serving.']",1.0,0.0,,3.0,3.0,20.0,2.0,25.0,1.0,316.0,https://www.allrecipes.com/thmb/P8ZElia8ILnp2sFPvQUKliqnyRk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1003504-faf9fb343b2d467bb143cef9f505b671.jpg,"Summer Fruit Salad with a Lemon, Honey, and Mint Dressing 4 cups cubed seeded watermelon, 2 cups sliced fresh strawberries, 2 large  fresh peaches, cut into cubes, 2 large  nectarines, cut into cubes, 1  red Anjou pear, cut into cubes, 1 cup seedless grapes, halved, 2  lemons, juiced, ¼ cup minced fresh mint (chocolate mint preferred), ½  lemon, zested, 1 tablespoon honey (fireweed honey preferred) Combine watermelon, strawberries, peaches, nectarines, pear, and grapes in a large mixing bowl.
Whisk lemon juice, mint, lemon zest, and honey together in a small bowl; drizzle over the fruit mixture and toss to coat.
Refrigerate 1 hour before serving. /Salad/Fruit Salad Recipes/Strawberry Salad Recipes/"
"100% Fruit ""Cake""",30,"['1  seedless watermelon', '2 cups strawberries', 'hulled and sliced', '1  cantaloupe - seeded', 'peeled', 'and sliced (optional)', '1  fresh pineapple - peeled', 'cored', 'and sliced (optional)']","['to create the base tier of the cake', 'cut 3 slices of watermelon', '1 to 2 inches thick', 'crossways through the center of the melon. trim the rind from the watermelon slices', 'and place the largest slice onto a cake plate. alternate layering sliced strawberries', 'slices of cantaloupe', 'and slices of fresh pineapple; follow with the second-largest watermelon slice. repeat once more to make a layered fruit stack that looks like a cake.\nthinly slice a few pieces of remaining melon and pineapple. with cookie cutters or a sharp knife', 'cut remaining fruit slices into decorative shapes. decorate the cake tiers with the cut fruit shapes and remaining berries.\nrefrigerate until serving time. to serve', 'slice the cake with a sharp knife', 'one wedge at a time', 'and set the wedge onto a plate.']",1.0,0.0,,18.0,4.0,48.0,5.0,59.0,2.0,934.0,https://www.allrecipes.com/thmb/8olVG1mHRF4Z4X8EtdYIuR93_tA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6448629-c860f205aa374a8db4d32fd7bce1255f.jpg,"100% Fruit ""Cake"" 1  seedless watermelon, 2 cups strawberries, hulled and sliced, 1  cantaloupe - seeded, peeled, and sliced (Optional), 1  fresh pineapple - peeled, cored, and sliced (Optional) To create the base tier of the cake, cut 3 slices of watermelon, 1 to 2 inches thick, crossways through the center of the melon. Trim the rind from the watermelon slices, and place the largest slice onto a cake plate. Alternate layering sliced strawberries, slices of cantaloupe, and slices of fresh pineapple; follow with the second-largest watermelon slice. Repeat once more to make a layered fruit stack that looks like a cake.
Thinly slice a few pieces of remaining melon and pineapple. With cookie cutters or a sharp knife, cut remaining fruit slices into decorative shapes. Decorate the cake tiers with the cut fruit shapes and remaining berries.
Refrigerate until serving time. To serve, slice the cake with a sharp knife, one wedge at a time, and set the wedge onto a plate. /Salad/Fruit Salad Recipes/"
Watermelon Lime Agua Fresca,75,"['8 cups water', 'divided', '5 cups peeled', 'cubed', 'and seeded watermelon', '½ cup white sugar', 'or more to taste', '⅓ cup lime juice', 'or more to taste']","['combine 1 cup water', 'watermelon', 'and sugar in a blender; process until smooth. pour into a large pitcher; stir in lime juice and remaining 7 cups water. taste; adjust sugar or lime juice. refrigerate until chilled', 'about 1 hour.']",0.0,,,7.0,0.0,15.0,1.0,12.0,0.0,97.0,https://www.allrecipes.com/thmb/s-4VmOHbQXLMlU3gzbUZVTRs-Lo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5472590-0a8182a4b4024c42a8e48c48bbf9483d.jpg,"Watermelon Lime Agua Fresca 8 cups water, divided, 5 cups peeled, cubed, and seeded watermelon, ½ cup white sugar, or more to taste, ⅓ cup lime juice, or more to taste Combine 1 cup water, watermelon, and sugar in a blender; process until smooth. Pour into a large pitcher; stir in lime juice and remaining 7 cups water. Taste; adjust sugar or lime juice. Refrigerate until chilled, about 1 hour. /Drinks Recipes/Juice Recipes/"
Watermelon Goat Cheese Salad,10,"['¼ cup extra-virgin olive oil', '2 tablespoons lemon juice', '2 tablespoons red wine vinegar', '¼ teaspoon salt', 'ground pepper', 'to taste', '4 cups spring mix', '4 cups seedless watermelon', 'diced', '½ (4 ounce) log montchevre® honey goat cheese', '½ cup hazelnuts', 'chopped']","['whisk together olive oil', 'lemon juice', 'vinegar', 'salt', 'and pepper.\nin a large bowl', 'gently toss spring mix and watermelon together with vinaigrette.\ntop with goat cheese and hazelnuts to serve.']",14.0,2.0,5.0,91.0,2.0,5.0,3.0,31.0,1.0,240.0,https://www.allrecipes.com/thmb/Qbl--Dn-ObUjJh9tZTnZOyYlcXM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5455054-1c042d1444d94439a6239bd81349915c.jpg,"Watermelon Goat Cheese Salad ¼ cup extra-virgin olive oil, 2 tablespoons lemon juice, 2 tablespoons red wine vinegar, ¼ teaspoon salt,   Ground pepper, to taste, 4 cups spring mix, 4 cups seedless watermelon, diced, ½ (4 ounce) log Montchevre® honey goat cheese , ½ cup hazelnuts, chopped Whisk together olive oil, lemon juice, vinegar, salt, and pepper.
In a large bowl, gently toss spring mix and watermelon together with vinaigrette.
Top with goat cheese and hazelnuts to serve. /Trusted Brands: Recipes and Tips/"
Watermelon Fruit Bowl,50,"['1  large watermelon', '1  cantaloupe', 'halved and seeded', '1  honeydew melon', 'halved and seeded', '2 (15 ounce) cans mandarin oranges', 'drained', '2 (20 ounce) cans pineapple chunks', 'drained', '2 cups halved fresh strawberries', '2 cups seedless grapes', '½ cup water', '¼ cup white sugar', '2 tablespoons grated lemon zest']","['with a large', 'sharp knife', 'remove the top 1/4 section of the watermelon. with a melon baller', 'scoop flesh from inside of watermelon', 'removing as many seeds as possible. leave 1/2 inch of flesh inside the shell of the watermelon. scoop cantaloupe and honeydew in the same manner', 'removing as much flesh as possible', 'and discarding the rinds. refrigerate fruits separately until ready to assemble.\nin a small saucepan over medium-high heat', 'bring water and sugar to a boil. remove from heat', 'and continue stirring until sugar has completely dissolved. add lemon zest', 'and set aside to cool.\nto serve', 'place watermelon balls', 'cantaloupe', 'honeydew', 'oranges', 'pineapple', 'strawberries', 'and grapes', 'in a large mixing bowl. pour syrup over', 'and toss thoroughly. transfer mixture to watermelon bowl', 'and serve. set aside any fruit mixture that will not fit. there will be enough fruit to refill the bowl.']",1.0,0.0,,23.0,3.0,40.0,3.0,41.0,1.0,683.0,https://www.allrecipes.com/thmb/UPMDTwJFuquwrxVyyXHdZBL2Ldk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/303776-9ff1f3275d774db9b6d2ebf3d690dc34.jpg,"Watermelon Fruit Bowl 1  large watermelon, 1  cantaloupe, halved and seeded, 1  honeydew melon, halved and seeded, 2 (15 ounce) cans mandarin oranges, drained, 2 (20 ounce) cans pineapple chunks, drained, 2 cups halved fresh strawberries, 2 cups seedless grapes , ½ cup water, ¼ cup white sugar, 2 tablespoons grated lemon zest With a large, sharp knife, remove the top 1/4 section of the watermelon. With a melon baller, scoop flesh from inside of watermelon, removing as many seeds as possible. Leave 1/2 inch of flesh inside the shell of the watermelon. Scoop cantaloupe and honeydew in the same manner, removing as much flesh as possible, and discarding the rinds. Refrigerate fruits separately until ready to assemble.
In a small saucepan over medium-high heat, bring water and sugar to a boil. Remove from heat, and continue stirring until sugar has completely dissolved. Add lemon zest, and set aside to cool.
To serve, place watermelon balls, cantaloupe, honeydew, oranges, pineapple, strawberries, and grapes, in a large mixing bowl. Pour syrup over, and toss thoroughly. Transfer mixture to watermelon bowl, and serve. Set aside any fruit mixture that will not fit. There will be enough fruit to refill the bowl. /Appetizers and Snacks/Fruit/"
Watermelon and Cucumber Juice with a Spritz of Lime,10,"['½ (4 pound) watermelon', 'seeded and cubed', '4  cucumbers', 'trimmed and cut into chunks', '2  limes', 'juiced']","[""run watermelon and cucumber pieces through a juicer following the manufacturer's instructions"", 'and place the juice into a pitcher. stir in lime juice', 'and serve.\n\n\n\n\n\n\n\n\n\n\n\nmelissa goff']",1.0,0.0,,9.0,3.0,19.0,3.0,72.0,2.0,702.0,https://www.allrecipes.com/thmb/9k2TGleXGi36lzyNz3MmZb50QKQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7823064-3039e758f527401288673659239529dc.jpg,"Watermelon and Cucumber Juice with a Spritz of Lime ½ (4 pound) watermelon, seeded and cubed, 4  cucumbers, trimmed and cut into chunks, 2  limes, juiced Run watermelon and cucumber pieces through a juicer following the manufacturer's instructions, and place the juice into a pitcher. Stir in lime juice, and serve.











Melissa Goff
 /Drinks Recipes/Juice Recipes/"
Heavenly Honeydew Juice,10,"['1 (5 pound) honeydew melon', 'quartered and seeded', '2 cups ice cubes', '1 cup water', '3 tablespoons white sugar']","['scrape flesh from honeydew melon quarters into a blender; add ice cubes', 'water', 'and sugar. blend until smooth and sugar has dissolved. serve immediately.']",1.0,0.0,,69.0,3.0,37.0,2.0,24.0,1.0,856.0,https://www.allrecipes.com/thmb/9DlP30efJXIDc_IBm3AY7hQtiAU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2008368-95e7267d4756420fb450b12cdd29a4f5.jpg,"Heavenly Honeydew Juice 1 (5 pound) honeydew melon, quartered and seeded, 2 cups ice cubes, 1 cup water, 3 tablespoons white sugar Scrape flesh from honeydew melon quarters into a blender; add ice cubes, water, and sugar. Blend until smooth and sugar has dissolved. Serve immediately. /Cuisine/Latin American/Mexican/"
Watermelon Summer Salad,30,"['¾ cup halved', 'thinly sliced red onion', '1 tablespoon fresh lime juice', '1 ½ quarts seeded', 'cubed watermelon', '¾ cup crumbled feta cheese', '½ cup pitted black olive halves', '1 cup chopped fresh mint', '2 tablespoons olive oil']","['place the onion slices in a small bowl with the lime juice. the acid of the lime will mellow the flavor of the raw onion. let stand for 10 minutes.\nin a large bowl', 'combine the watermelon cubes', 'feta cheese', 'black olives', 'onions with the lime juice', 'and mint. drizzle olive oil over it all', 'and toss to blend. dig in and be prepared for a pleasant surprise!']",10.0,4.0,17.0,315.0,1.0,11.0,4.0,126.0,1.0,215.0,https://www.allrecipes.com/thmb/A-9GQAkmbbQ1zuG3tC9wVtG-260=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1242185-watermelon-summer-salad-Tanni-Kitty-4x3-1-da9b1d62861e4b3685c0537d35bf257a.jpg,"Watermelon Summer Salad ¾ cup halved, thinly sliced red onion, 1 tablespoon fresh lime juice, 1 ½ quarts seeded, cubed watermelon, ¾ cup crumbled feta cheese, ½ cup pitted black olive halves, 1 cup chopped fresh mint, 2 tablespoons olive oil Place the onion slices in a small bowl with the lime juice. The acid of the lime will mellow the flavor of the raw onion. Let stand for 10 minutes.
In a large bowl, combine the watermelon cubes, feta cheese, black olives, onions with the lime juice, and mint. Drizzle olive oil over it all, and toss to blend. Dig in and be prepared for a pleasant surprise! /Salad/Fruit Salad Recipes/"
Cantaloupe Crunch,60,"['3 cups cubed cantaloupe', '½ cup white sugar', '⅓ cup lemon juice', '2 tablespoons unsalted butter', 'melted', '1 tablespoon all-purpose flour', '½ teaspoon vanilla extract', '½ teaspoon ground cinnamon', '¼ teaspoon ground nutmeg', '1 (15.25 ounce) package white cake mix', '½ cup unsalted butter', 'melted']","['preheat the oven to 350 degrees f (175 degrees c).\nmix cantaloupe', 'sugar', 'lemon juice', '2 tablespoons melted butter', 'flour', 'vanilla', 'cinnamon', 'and nutmeg together in a medium bowl. pour into a 9-inch square baking dish.\nspread dry cake mix evenly over cantaloupe mixture', 'then drizzle 1/2 cup melted butter over top.\nbake in the preheated oven until golden brown', 'about 45 minutes.']",19.0,9.0,34.0,477.0,1.0,46.0,3.0,120.0,1.0,226.0,https://www.allrecipes.com/thmb/Pa09DH2hthK2zuEbgfeZ8IC2s9o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/448193-e27088dbbf894fb6b6aaf198e476a906.jpg,"Cantaloupe Crunch 3 cups cubed cantaloupe, ½ cup white sugar, ⅓ cup lemon juice, 2 tablespoons unsalted butter, melted, 1 tablespoon all-purpose flour, ½ teaspoon vanilla extract, ½ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, 1 (15.25 ounce) package white cake mix, ½ cup unsalted butter, melted Preheat the oven to 350 degrees F (175 degrees C).
Mix cantaloupe, sugar, lemon juice, 2 tablespoons melted butter, flour, vanilla, cinnamon, and nutmeg together in a medium bowl. Pour into a 9-inch square baking dish.
Spread dry cake mix evenly over cantaloupe mixture, then drizzle 1/2 cup melted butter over top.
Bake in the preheated oven until golden brown, about 45 minutes. /Desserts/Cakes/Cake Mix Cake Recipes/"
Chewy Watermelon Rind Candy,390,"['1  watermelon rind', 'peeled', '4 cups water', '4 cups white sugar', '½ cup spearmint leaves', 'coarsely chopped', '1 tablespoon dried sweet basil']","['cut watermelon rind into 2-inch long', '1-inch wide', 'and 1/2-inch thick pieces.\ncombine water', 'sugar', 'spearmint', 'and basil in a large pot. bring to a rolling boil. strain out spearmint and basil. add watermelon rind', 'making sure pieces are completely immersed. cook until rind is soft', ""about 5 minutes.\ndrain watermelon pieces and arrange in a single layer on dehydrator trays. dry according to manufacturer's instructions until pieces are candied and dried"", '6 to 8 hours.']",2.0,0.0,,11.0,2.0,67.0,3.0,46.0,1.0,464.0,https://www.allrecipes.com/thmb/kS0lLf59FxEsRyoJT9z88ZNO05U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5461089-a6078a87ebd74ff98eeba8acd02d8abc.jpg,"Chewy Watermelon Rind Candy 1  watermelon rind, peeled, 4 cups water, 4 cups white sugar, ½ cup spearmint leaves, coarsely chopped, 1 tablespoon dried sweet basil Cut watermelon rind into 2-inch long, 1-inch wide, and 1/2-inch thick pieces.
Combine water, sugar, spearmint, and basil in a large pot. Bring to a rolling boil. Strain out spearmint and basil. Add watermelon rind, making sure pieces are completely immersed. Cook until rind is soft, about 5 minutes.
Drain watermelon pieces and arrange in a single layer on dehydrator trays. Dry according to manufacturer's instructions until pieces are candied and dried, 6 to 8 hours. /Desserts/Candy Recipes/"
